# theta1 theta2 steps max_norm_drift
1.000000e-01 6.000000e-01 5.000000e+01 8.437695e-15
1.000000e-01 6.000000e-01 1.000000e+02 1.687539e-14
2.000000e-01 0.000000e+00 1.000000e+01 2.220446e-16
2.000000e-01 0.000000e+00 5.000000e+01 1.221245e-15
2.000000e-01 0.000000e+00 1.000000e+02 2.220446e-15
2.000000e-01 1.000000e-01 1.000000e+01 4.440892e-16
2.000000e-01 1.000000e-01 5.000000e+01 3.774758e-15
2.000000e-01 1.000000e-01 1.000000e+02 7.771561e-15
2.000000e-01 2.000000e-01 1.000000e+01 4.440892e-16
2.000000e-01 2.000000e-01 5.000000e+01 1.554312e-15
2.000000e-01 2.000000e-01 1.000000e+02 2.442491e-15
2.000000e-01 3.000000e-01 1.000000e+01 7.771561e-16
2.000000e-01 3.000000e-01 5.000000e+01 4.773959e-15
2.000000e-01 3.000000e-01 1.000000e+02 1.065814e-14
2.000000e-01 4.000000e-01 1.000000e+01 2.220446e-16
2.000000e-01 4.000000e-01 5.000000e+01 4.440892e-16
2.000000e-01 4.000000e-01 1.000000e+02 4.440892e-16
2.000000e-01 5.000000e-01 1.000000e+01 2.220446e-16
2.000000e-01 5.000000e-01 5.000000e+01 8.881784e-16
2.000000e-01 5.000000e-01 1.000000e+02 8.881784e-16
2.000000e-01 6.000000e-01 1.000000e+01 2.220446e-16
2.000000e-01 6.000000e-01 5.000000e+01 1.776357e-15
2.000000e-01 6.000000e-01 1.000000e+02 3.996803e-15
3.000000e-01 0.000000e+00 1.000000e+01 9.992007e-16
3.000000e-01 0.000000e+00 5.000000e+01 4.662937e-15
3.000000e-01 0.000000e+00 1.000000e+02 8.659740e-15
3.000000e-01 1.000000e-01 1.000000e+01 2.220446e-16
3.000000e-01 1.000000e-01 5.000000e+01 3.330669e-16
3.000000e-01 1.000000e-01 1.000000e+02 8.881784e-16
3.000000e-01 2.000000e-01 1.000000e+01 6.661338e-16
3.000000e-01 2.000000e-01 5.000000e+01 3.996803e-15
3.000000e-01 2.000000e-01 1.000000e+02 9.880985e-15
3.000000e-01 3.000000e-01 1.000000e+01 1.776357e-15
3.000000e-01 3.000000e-01 5.000000e+01 9.325873e-15
3.000000e-01 3.000000e-01 1.000000e+02 1.765255e-14
3.000000e-01 4.000000e-01 1.000000e+01 8.881784e-16
3.000000e-01 4.000000e-01 5.000000e+01 3.663736e-15
3.000000e-01 4.000000e-01 1.000000e+02 7.327472e-15
3.000000e-01 5.000000e-01 1.000000e+01 6.661338e-16
3.000000e-01 5.000000e-01 5.000000e+01 2.886580e-15
3.000000e-01 5.000000e-01 1.000000e+02 6.217249e-15
3.000000e-01 6.000000e-01 1.000000e+01 4.440892e-16
3.000000e-01 6.000000e-01 5.000000e+01 1.110223e-15
3.000000e-01 6.000000e-01 1.000000e+02 2.442491e-15
4.000000e-01 0.000000e+00 1.000000e+01 2.220446e-16
4.000000e-01 0.000000e+00 5.000000e+01 1.776357e-15
4.000000e-01 0.000000e+00 1.000000e+02 2.664535e-15
